array,occasion,post,ElevationLP,Elev,Rugged,distWater,TempAM
1,1,A,762,858.15,90.51,5826.01,21
1,1,A,762,858.15,90.51,5826.01,21
1,1,A,762,858.15,90.51,5826.01,21
1,1,C,887,858.15,90.51,5826.01,21
1,1,C,887,858.15,90.51,5826.01,21
1,2,A,762,858.15,90.51,5826.01,20.3
1,2,A,762,858.15,90.51,5826.01,20.3
1,2,A,762,858.15,90.51,5826.01,20.3
1,2,B,771,858.15,90.51,5826.01,20.3
1,2,B,771,858.15,90.51,5826.01,20.3
1,2,B,771,858.15,90.51,5826.01,20.3
1,2,C,887,858.15,90.51,5826.01,20.3
1,2,C,887,858.15,90.51,5826.01,20.3
1,2,C,887,858.15,90.51,5826.01,20.3
1,2,C,887,858.15,90.51,5826.01,20.3
1,3,A,762,858.15,90.51,5826.01,20.7
1,3,A,762,858.15,90.51,5826.01,20.7
1,3,B,771,858.15,90.51,5826.01,20.7
1,3,B,771,858.15,90.51,5826.01,20.7
1,3,B,771,858.15,90.51,5826.01,20.7
1,3,B,771,858.15,90.51,5826.01,20.7
1,3,C,887,858.15,90.51,5826.01,20.7
1,3,C,887,858.15,90.51,5826.01,20.7
1,3,C,887,858.15,90.51,5826.01,20.7
1,4,A,762,858.15,90.51,5826.01,22.1
1,4,A,762,858.15,90.51,5826.01,22.1
1,4,A,762,858.15,90.51,5826.01,22.1
1,4,A,762,858.15,90.51,5826.01,22.1
1,4,B,771,858.15,90.51,5826.01,22.1
1,4,B,771,858.15,90.51,5826.01,22.1
1,4,C,887,858.15,90.51,5826.01,22.1
1,4,C,887,858.15,90.51,5826.01,22.1
1,4,C,887,858.15,90.51,5826.01,22.1
2,1,B,800,865.28,85.12,6214.99,19
2,1,C,765,865.28,85.12,6214.99,19
2,1,C,765,865.28,85.12,6214.99,19
2,1,C,765,865.28,85.12,6214.99,19
2,2,A,844,865.28,85.12,6214.99,18.4
2,2,B,800,865.28,85.12,6214.99,18.4
2,2,B,800,865.28,85.12,6214.99,18.4
2,2,B,800,865.28,85.12,6214.99,18.4
2,2,B,800,865.28,85.12,6214.99,18.4
2,2,C,765,865.28,85.12,6214.99,18.4
2,2,C,765,865.28,85.12,6214.99,18.4
2,2,C,765,865.28,85.12,6214.99,18.4
2,2,C,765,865.28,85.12,6214.99,18.4
2,2,C,765,865.28,85.12,6214.99,18.4
2,3,B,800,865.28,85.12,6214.99,
2,3,B,800,865.28,85.12,6214.99,
2,3,B,800,865.28,85.12,6214.99,
2,3,C,765,865.28,85.12,6214.99,
2,3,C,765,865.28,85.12,6214.99,
2,3,C,765,865.28,85.12,6214.99,
2,4,A,844,865.28,85.12,6214.99,20.3
2,4,A,844,865.28,85.12,6214.99,20.3
2,4,A,844,865.28,85.12,6214.99,20.3
2,4,B,800,865.28,85.12,6214.99,20.3
2,4,B,800,865.28,85.12,6214.99,20.3
2,4,B,800,865.28,85.12,6214.99,20.3
2,4,B,800,865.28,85.12,6214.99,20.3
2,4,C,765,865.28,85.12,6214.99,20.3
2,4,C,765,865.28,85.12,6214.99,20.3
2,4,C,765,865.28,85.12,6214.99,20.3
2,4,C,765,865.28,85.12,6214.99,20.3
2,4,C,765,865.28,85.12,6214.99,20.3
2,4,C,765,865.28,85.12,6214.99,20.3
3,1,A,709,739.22,31.16,6678,18.1
3,1,A,709,739.22,31.16,6678,18.1
3,1,A,709,739.22,31.16,6678,18.1
3,1,B,708,739.22,31.16,6678,18.1
3,1,B,708,739.22,31.16,6678,18.1
3,1,C,726,739.22,31.16,6678,18.1
3,1,C,726,739.22,31.16,6678,18.1
3,2,A,709,739.22,31.16,6678,15.7
3,2,A,709,739.22,31.16,6678,15.7
3,2,A,709,739.22,31.16,6678,15.7
3,2,A,709,739.22,31.16,6678,15.7
3,2,A,709,739.22,31.16,6678,15.7
3,2,A,709,739.22,31.16,6678,15.7
3,2,B,708,739.22,31.16,6678,15.7
3,2,B,708,739.22,31.16,6678,15.7
3,2,B,708,739.22,31.16,6678,15.7
3,2,C,726,739.22,31.16,6678,15.7
3,2,C,726,739.22,31.16,6678,15.7
3,2,C,726,739.22,31.16,6678,15.7
3,2,C,726,739.22,31.16,6678,15.7
3,2,C,726,739.22,31.16,6678,15.7
3,3,A,709,739.22,31.16,6678,17.4
3,3,A,709,739.22,31.16,6678,17.4
3,3,A,709,739.22,31.16,6678,17.4
3,3,B,708,739.22,31.16,6678,17.4
3,3,C,726,739.22,31.16,6678,17.4
3,4,A,709,739.22,31.16,6678,17.8
3,4,A,709,739.22,31.16,6678,17.8
3,4,A,709,739.22,31.16,6678,17.8
3,4,A,709,739.22,31.16,6678,17.8
3,4,A,709,739.22,31.16,6678,17.8
3,4,B,708,739.22,31.16,6678,17.8
3,4,B,708,739.22,31.16,6678,17.8
3,4,C,726,739.22,31.16,6678,17.8
3,4,C,726,739.22,31.16,6678,17.8
3,4,C,726,739.22,31.16,6678,17.8
4,1,A,855,917.67,97.86,5018.81,17.8
4,1,B,987,917.67,97.86,5018.81,17.8
4,1,C,1035,917.67,97.86,5018.81,17.8
4,2,B,987,917.67,97.86,5018.81,17.8
4,3,A,855,917.67,97.86,5018.81,17.3
4,3,B,987,917.67,97.86,5018.81,17.3
4,3,B,987,917.67,97.86,5018.81,17.3
4,3,C,1035,917.67,97.86,5018.81,17.3
4,3,C,1035,917.67,97.86,5018.81,17.3
4,3,C,1035,917.67,97.86,5018.81,17.3
4,4,B,987,917.67,97.86,5018.81,18.7
4,4,B,987,917.67,97.86,5018.81,18.7
