Array,Listening post,Listening post ID,Easting,Northing,Elevation(m),repeat,Date,Groups,Group ID,time start male,timestart  female,time end,bearing,distance (m),NOTE: yellow highlight=no female heard,,,
1,A,1A1,532222,1982297,762,1,10/11/2013,1,108,5:44:00,5:44:00,6:04,152,2000,nr=not recorded i.e. heard but timing not recorded,,,
1,A,1A1,532222,1982297,762,1,10/11/2013,2,115,6:00:00,6:00:00,6:15,184,1000,,,,
1,A,1A1,532222,1982297,762,1,10/11/2013,3,122,6:16:00,6:16:00,6:45,105,1000,,,,
1,B,1B1,532571,1982716,771,1,10/11/2013,1,,5:59:00,,,80,2500,,,,
1,B,1B1,532571,1982716,771,1,10/11/2013,2,,6:23:00,,,280,2000,,,,
1,C,1C1,532800,1983215,887,1,10/11/2013,1,,5:56:00,,7:28,115,2500,,,,
1,C,1C1,532800,1983215,887,1,10/11/2013,2,118,5:58:00,6:01:00,,48,2500,,,,
1,C,1C1,532800,1983215,887,1,10/11/2013,3,123,6:15:00,6:18:00,,325,2100,,,,
1,A,1A2,532222,1982297,762,2,11/11/2013,1,115,5:54:00,5:55:00,5:56,193,1600,,,,
1,A,1A2,532222,1982297,762,2,11/11/2013,2,123,6:16:00,6:20:00,6:20,2,800,,,,
1,A,1A2,532222,1982297,762,2,11/11/2013,3,120,6:18:00,6:18:00,6:27,218,1200,,,,
1,B,1B2,532571,1982716,771,2,11/11/2013,1,,5:55:00,,6:01,50,2500,,,,
1,B,1B2,532571,1982716,771,2,11/11/2013,2,123,5:59:00,6:00:00,6:07,333,1500,,,,
1,B,1B2,532571,1982716,771,2,11/11/2013,3,121,6:02:00,6:03:00,6:08,290,1000,,,,
1,B,1B2,532571,1982716,771,2,11/11/2013,4,,6:06:00,,6:09,136,1000,,,,
1,B,1B2,532571,1982716,771,2,11/11/2013,5,114,6:11:00,6:10:00,6:19,80,2000,,,,
1,C,1C2,532800,1983215,887,2,11/11/2013,1,119,5:50:00,5:52:00,7:03,60,200,,,,
1,C,1C2,532800,1983215,887,2,11/11/2013,2,117,5:53:00,5:54:00,6:06,24,150,,,,
1,C,1C2,532800,1983215,887,2,11/11/2013,3,122,6:00:00,6:02:00,6:09,180,1500,,,,
1,C,1C2,532800,1983215,887,2,11/11/2013,4,123,6:12:00,6:13:00,6:20,280,1000,,,,
1,A,1A3,532222,1982297,762,3,12/11/2013,1,110,6:00:00,6:00:00,6:30,126,1800,,,,
1,A,1A3,532222,1982297,762,3,12/11/2013,2,119,6:06:00,6:07:00,6:25,54,600,,,,
1,B,1B3,532571,1982716,771,3,12/11/2013,1,,5:22:00,,5:44,89,3000,,,,
1,B,1B3,532571,1982716,771,3,12/11/2013,2,106,5:45:00,5:46:00,5:51,176,2500,,,,
1,B,1B3,532571,1982716,771,3,12/11/2013,3,117,5:55:00,6:01:00,6:11,26,1500,,,,
1,B,1B3,532571,1982716,771,3,12/11/2013,4,115,6:05:00,6:06:00,6:12,187,1000,,,,
1,B,1B3,532571,1982716,771,3,12/11/2013,5,122,6:14:00,6:17:00,6:25,148,800,,,,
1,C,1C3,532800,1983215,887,3,12/11/2013,1,122,5:53:00,5:54:00,6:02,170,1500,,,,
1,C,1C3,532800,1983215,887,3,12/11/2013,2,118,5:57:00,5:58:00,6:11,50,1500,,,,
1,C,1C3,532800,1983215,887,3,12/11/2013,3,119,6:05:00,6:07:00,6:26,192,150,,,,
1,A,1A4,532222,1982297,762,4,13/11/2013,1,115,5:52:00,5:53:00,6:12,186,800,,,,
1,A,1A4,532222,1982297,762,4,13/11/2013,2,121,5:59:00,5:59:00,6:15,288,600,,,,
1,A,1A4,532222,1982297,762,4,13/11/2013,3,123,nr,6:02:00,6:25,6,1200,,,,
1,A,1A4,532222,1982297,762,4,13/11/2013,4,111,nr,6:13:00,6:32,96,1500,,,,
1,B,1B4,532571,1982716,771,4,13/11/2013,1,110,5:53:00,5:55:25,6:07,159,1500,,,,
1,B,1B4,532571,1982716,771,4,13/11/2013,2,124,6:09:00,6:09:58,6:22,77,800,,,,
1,B,1B4,532571,1982716,771,4,13/11/2013,3,unident,6:12:00,6:12:45,6:18,131,2500,,,,
1,C,1C4,532800,1983215,887,4,13/11/2013,1,117,5:59:00,6:01:00,6:10,371,500,,,,
1,C,1C4,532800,1983215,887,4,13/11/2013,2,123,6:09:00,6:11:00,6:29,305,600,,,,
1,C,1C4,532800,1983215,887,4,13/11/2013,3,119,6:11:00,6:01:00,6:14,78,200,,,,
2,A,2A1,533651,1981096,844,1,14/11/2013,1,,5:52:00,,6:30,235,2000,,,,
2,A,2A1,533651,1981096,844,1,14/11/2013,2,,6:28:00,,6:42,280,1500,,,,
2,B,2B1,533844,1981541,800,1,14/11/2013,1,109,5:52:00,5:53:00,6:25,82,1500,,,,
2,C,2C1,534158,1981838,765,1,14/11/2013,1,114,5:43:30,5:46:48,6:05,40,1500,,,,
2,C,2C1,534158,1981838,765,1,14/11/2013,2,unident,5:46:31,5:49:33,6:08,105,1000,,,,
2,C,2C1,534158,1981838,765,1,14/11/2013,3,113,5:53:16,5:54:38,6:02,60,1000,,,,
2,C,2C1,534158,1981838,765,1,14/11/2013,4,109,6:08:39,6:10:58,6:15,95,1000,,,,
2,A,2A2,533651,1981096,844,2,15/11/2013,1,116,5:59:00,6:01:00,6:22,60,1000,,,,
2,A,2A2,533651,1981096,844,2,15/11/2013,2,,6:19:00,,6:35,310,1500,,,,
2,B,2B2,533844,1981541,800,2,15/11/2013,1,115,5:53:13,5:53:33,6:05,278,1400,,,,
2,B,2B2,533844,1981541,800,2,15/11/2013,2,116,5:58:30,5:58:47,6:16,50,500,,,,
2,B,2B2,533844,1981541,800,2,15/11/2013,3,124,6:01:59,6:02:24,6:30,334,1200,,,,
2,B,2B2,533844,1981541,800,2,15/11/2013,4,122,6:14:44,6:14:49,6:49,302,1000,,,,
2,C,2C2,534158,1981838,765,2,15/11/2013,1,116,5:56:50,6:00:41,6:13,120,300,,,,
2,C,2C2,534158,1981838,765,2,15/11/2013,2,118,5:57:18,5:57:19,6:09,350,2000,,,,
2,C,2C2,534158,1981838,765,2,15/11/2013,3,122,6:02:23,6:04:42,6:14,73,2000,,,,
2,C,2C2,534158,1981838,765,2,15/11/2013,4,114,6:04:48,6:07:38,6:21,36,1500,,,,
2,C,2C2,534158,1981838,765,2,15/11/2013,5,113,6:11:58,6:12:53,6:19,56,1800,,,,
2,A,2A3,533651,1981096,844,3,16/11/2013,1,,6:38:00,,5:50,50,1500,,,,
2,A,2A3,533651,1981096,844,3,16/11/2013,2,,6:54:00,,,10,1000,,,,
2,B,2B3,533844,1981541,800,3,16/11/2013,1,109,6:04:15,6:08:18,6:24,96,1500,,,,
2,B,2B3,533844,1981541,800,3,16/11/2013,2,116,6:37:52,6:37:56,6:57,68,500,,,,
2,B,2B3,533844,1981541,800,3,16/11/2013,3,111,6:54:09,6:54:20,7:10,38,400,,,,
2,C,2C3,534158,1981838,765,3,16/11/2013,1,,6:32:40,,6:38,30,2000,,,,
2,C,2C3,534158,1981838,765,3,16/11/2013,2,116,6:37:05,6:38:20,6:44,105,200,,,,
2,C,2C3,534158,1981838,765,3,16/11/2013,3,112,6:43:00,6:43:00,7:00,70,2000,,,,
2,C,2C3,534158,1981838,765,3,16/11/2013,4,111,6:53:02,6:54:57,6:58,290,100,,,,
2,A,2A4,533651,1981096,844,4,17/11/2013,1,116,5:57:00,5:59:00,6:21,62,1500,,,,
2,A,2A4,533651,1981096,844,4,17/11/2013,2,110,6:03:00,6:07:00,6:24,12,200,,,,
2,A,2A4,533651,1981096,844,4,17/11/2013,3,110,6:10:00,6:17:00,6:31,340,500,,,,
2,B,2B4,533844,1981541,800,4,17/11/2013,1,112,5:54:24,5:54:29,6:05,66,1500,,,,
2,B,2B4,533844,1981541,800,4,17/11/2013,2,111,5:59:52,5:59:54,6:12,22,600,,,,
2,B,2B4,533844,1981541,800,4,17/11/2013,3,111,6:06:40,6:03:42,6:20,8,400,,,,
2,B,2B4,533844,1981541,800,4,17/11/2013,4,110,6:08:53,6:08:55,6:25,290,200,,,,
2,C,2C4,534158,1981838,765,4,17/11/2013,1,,5:48:01,,6:01,293,1500,,,,
2,C,2C4,534158,1981838,765,4,17/11/2013,2,112,5:53:14,5:54:07,6:02,78,1500,,,,
2,C,2C4,534158,1981838,765,4,17/11/2013,3,119,5:55:39,5:56:06,6:08,94,2000,,,,
2,C,2C4,534158,1981838,765,4,17/11/2013,4,113,5:57:31,5:58:26,6:05,52,2500,,,,
2,C,2C4,534158,1981838,765,4,17/11/2013,5,118,5:59:16,6:00:19,6:12,4,3000,,,,
2,C,2C4,534158,1981838,765,4,17/11/2013,6,116,6:06:39,6:12:05,6:14,106,1000,,,,
2,C,2C4,534158,1981838,765,4,17/11/2013,7,110,6:14:59,6:15:26,6:20,224,1200,,,,
3,A,3A1,531669,1980462,709,1,18/11/2013,1,73,6:00:14,6:01:13,6:13,130,1000,,,,
3,A,3A1,531669,1980462,709,1,18/11/2013,2,108,6:08:56,6:09:07,6:22,73,800,,,,
3,A,3A1,531669,1980462,709,1,18/11/2013,3,71,6:11:18,6:11:20,6:33,148,1200,,,,
3,B,3B1,531820,1980973,708,1,18/11/2013,1,,6:02:27,,6:10,130,3000,,,,
3,B,3B1,531820,1980973,708,1,18/11/2013,2,110,6:06:43,6:07:14,6:20,74,1500,,,,
