array,occasion,post,group,bearing
2,1,A,2_A,130
2,1,A,2_B,38
2,1,A,2_C,195
2,1,A,2_D,38
2,1,A,2_E,90
2,1,B,2_A,140
2,1,B,2_B,343
2,1,B,2_D,11
2,1,B,2_E,96
2,1,C,2_A,148
2,1,C,2_H,118
2,1,C,2_B,318
2,1,C,2_I,100
2,1,C,2_E,72
2,1,C,2_J,40
2,1,C,2_K,172
3,1,A,3_B,110
3,1,B,3_B,142
3,1,C,3_B,184
4,1,A,4_B,144
4,1,A,4_C,339
4,1,B,4_D,106
4,1,B,4_B,160
4,1,B,4_E,130
4,1,C,4_D,101
4,1,C,4_B,171
4,1,C,4_E,150
5,1,A,5_A,210
5,1,A,5_B,112
5,1,B,5_C,118
5,1,B,5_B,132
5,1,B,5_A,222
5,1,B,5_D,190
5,1,B,5_E,84
5,1,B,5_F,14
5,1,C,5_C,122
5,1,C,5_B,170
5,1,C,5_A,236
5,1,C,5_H,96
6,1,A,6_A,170
6,1,B,6_B,192
6,1,B,6_A,180
6,1,B,6_C,40
6,1,C,6_B,220
6,1,C,6_C,36
7,1,A,7_A,274
7,1,A,7_B,360
7,1,B,7_B,350
10,1,A,10_A,270
10,1,A,10_B,130
10,1,A,10_C,141
10,1,A,10_D,313
10,1,A,10_F,215
10,1,A,10_G,72
10,1,B,10_H,38
10,1,B,10_I,122
10,1,B,10_J,108
10,1,B,10_C,166
10,1,B,10_F,240
10,1,C,10_H,348
10,1,C,10_B,166
10,1,C,10_C,172
11,1,A,11_A,235
11,1,A,11_B,180
11,1,A,11_C,230
11,1,B,11_B,188
11,1,B,11_E,340
11,1,B,11_C,264
11,1,B,11_F,158
11,1,B,11_G,30
11,1,C,11_G,20
12,1,A,12_A,240
12,1,A,12_B,340
12,1,A,12_D,80
12,1,B,12_A,248
12,1,B,12_I,75
12,1,B,12_J,230
12,1,B,12_K,190
12,1,B,12_L,104
12,1,C,12_I,84
12,1,C,12_B,308
12,1,C,12_K,234
12,1,C,12_E,328
12,1,C,12_M,102
12,1,C,12_N,202
13,1,A,13_A,66
13,1,A,13_B,100
13,1,A,13_C,64
13,1,A,13_D,34
13,1,B,13_A,33
13,1,B,13_B,95
13,1,B,13_E,162
13,1,B,13_F,68
13,1,B,13_C,60
13,1,C,13_A,310
13,1,C,13_G,22
13,1,C,13_B,260
15,1,A,15_A,198
15,1,A,15_B,287
15,1,A,15_C,330
15,1,A,15_D,170
15,1,A,15_E,244
15,1,A,15_F,257
15,1,B,15_B,296
15,1,B,15_A,240
15,1,B,15_G,40
15,1,B,15_D,205
15,1,B,15_H,220
15,1,C,15_I,70
15,1,C,15_G,20
15,1,C,15_M,140
16,1,A,16_B,60
16,1,A,16_C,280
16,1,B,16_B,40
16,1,C,16_I,80
16,1,C,16_J,60
16,1,C,16_K,153
17,1,A,17_A,326
17,1,A,17_B,158
17,1,A,17_C,300
17,1,B,17_A,310
17,1,B,17_D,342
17,1,B,17_C,282
